contact_id,brief_id,level,lsm,overlap,chars
25,26,6,0.4995,0.15,256
25,10,6,0.4859,0.1,280
427,1,0,,,330
427,26,0,,,105
427,10,0,,,341
427,1,1,,,341
427,26,1,,,115
427,10,1,,,351
427,1,2,,,339
427,26,2,,,117
427,10,2,,,349
427,1,3d,,,358
376,1,0,0.6397,0.0,330
376,26,0,0.4101,0.0,105
376,10,0,0.528,0.05,341
376,1,1,0.6285,0.0,341
376,26,1,0.4232,0.0,114
376,10,1,0.5265,0.05,349
376,1,2,0.6231,0.0,350
376,26,2,0.4295,0.0,126
376,10,2,0.5258,0.05,362
376,1,3a,0.6051,0.05,346
376,26,3b,0.4295,0.0,126
376,26,3c,0.4295,0.0,125
376,1,3,0.5422,0.05,341
376,26,3,0.4295,0.0,121
376,10,3,0.5265,0.05,358
376,26,4,0.4295,0.0,123
376,1,5,0.5552,0.1,242
376,26,5,0.4295,0.0,125
376,10,5,0.528,0.0,342
376,26,6a,0.4957,0.1,205
376,26,6b,0.4295,0.0,121
376,10,6c,0.528,0.0,342
376,26,6d,0.4678,0.1,363
376,1,6,0.4672,0.0,287
376,26,6,0.509,0.05,164
376,10,6,0.467,0.05,278
377,1,0,0.6167,0.0,330
377,26,0,0.4203,0.0,105
377,10,0,0.5503,0.05,341
377,1,1,0.6112,0.0,341
377,26,1,0.4277,0.0,115
377,10,1,0.5523,0.05,351
377,1,2,0.6058,0.0,347
377,26,2,0.4347,0.0,125
377,10,2,0.5542,0.05,357
377,1,3a,0.6058,0.0,339
377,26,3b,0.4347,0.0,122
377,26,3c,0.4347,0.0,125
377,1,3,0.5407,0.1,383
377,26,3,0.4291,0.05,103
377,10,3,0.5583,0.15,286
377,26,4,0.4347,0.0,116
377,1,5,0.6189,0.1,276
377,26,5,0.5359,0.0,144
377,10,5,0.518,0.1,268
377,26,6a,0.5406,0.0,143
377,26,6b,0.5359,0.0,147
377,10,6c,0.4913,0.05,268
377,26,6d,0.5031,0.05,234
377,1,6,0.4588,0.1,309
377,26,6,0.5534,0.05,180
377,10,6,0.4605,0.05,236
378,1,0,0.6198,0.0,330
378,26,0,0.42,0.0,105
378,10,0,0.5521,0.05,341
378,1,1,0.6092,0.0,341
378,26,1,0.4343,0.0,114
