file,strings,chars,C0,C1,CJK,CR,CYR,DBLSP,EMOJI,EMPTY,ESCSEQ,FFFD,GREEK,HTMLENT,LONGTOK,LSEP,MOJI,NBSP,NON_NFC,PUA,PUNCTRUN,SYMBOL,TAB,URL,WS_EDGE,X000D,ZW
ucs/uc02_pseudonymization/snapshots/README.md,52,2071,0,0,0,0,0,15,0,15,0,0,0,0,3,0,0,0,0,0,4,9,0,0,1,0,0
ucs/uc02_pseudonymization/snapshots/ner_smoke_sentences.json,519,6798,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
ucs/uc02_pseudonymization/snapshots/uc02-pii-corpus.json,984,35617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/snapshots/uc02-pii-gold.jsonl,2535,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/.demo/audit.jsonl,44,1041,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/.demo/manifest.json,39,840,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/.demo/tool_manifest.json,39,840,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/GUIDE.md,96,3376,0,0,0,0,0,6,0,38,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0
ucs/uc03_mcp_privacy/README.md,189,11492,0,0,0,0,0,114,0,35,0,0,0,0,8,0,0,0,0,0,5,274,0,0,42,0,0
ucs/uc03_mcp_privacy/demo/scenario.md,126,4944,0,0,0,0,0,31,0,40,0,0,0,0,4,0,0,0,0,0,4,1,0,0,9,0,0
ucs/uc03_mcp_privacy/docs/README.md,44,1377,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0
ucs/uc03_mcp_privacy/docs/mcp_client_config.example.json,28,477,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/README.md,79,3266,0,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,24,0,0,9,0,0
ucs/uc03_mcp_privacy/eval/categorizer-live-2026-05-29.json,179,3704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/manifest.jsonl,79,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/synth/README.md,157,4653,0,0,0,0,0,63,0,30,0,0,0,0,5,0,0,0,0,0,0,19,0,0,55,0,0
ucs/uc03_mcp_privacy/eval/synth/manifest.jsonl,409,5279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/synth/results_whisper-large-v3-turbo_edge-tts.jsonl,629,9395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/synth/results_whisper-medium_edge-tts.jsonl,629,9234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/synth/summary_whisper-large-v3-turbo_edge-tts.json,70,760,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/eval/synth/summary_whisper-medium_edge-tts.json,56,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc03_mcp_privacy/vocab_cs.txt,54,1037,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/README.md,200,10306,0,0,0,0,0,99,0,40,0,0,0,0,6,0,0,0,0,0,8,48,0,0,27,0,0
ucs/uc04_matchmaker/future-work.md,48,1959,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_absa_sample.json,1950,112009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_absa_sample.json,1950,111101,0,0,0,0,0,292,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,23,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_catalog_asins_cs.json,19228,192280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc04_matchmaker/results/_archive/pre-clean-2026-05/_catalog_asins_en.json,19228,192280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
